epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6934,1.96744,6.14573,2.13852,0.02929,0.23529,0.0153,0.00411,2.47769,32.8885,4.15684,0.000655556,0.000655556,0.000655556
2,51.8136,1.91203,2.53968,2.09593,0.08772,0.11765,0.02463,0.00639,2.91184,88.5745,6.21275,0.00113522,0.00113522,0.00113522
3,73.4798,1.96598,2.43469,2.09763,0.08211,0.27059,0.04609,0.01164,2.49398,17.6418,2.81131,0.00142632,0.00142632,0.00142632
4,94.8745,1.90052,2.35487,2.0245,0.25645,0.29412,0.16846,0.05442,2.62943,5.06201,2.82536,0.00115143,0.00115143,0.00115143
5,116.501,1.80033,2.16391,1.92201,0.38425,0.27647,0.27681,0.08188,2.27469,2.52441,2.49324,0.000868571,0.000868571,0.000868571
6,137.777,1.78291,2.09846,1.94531,0.358,0.39412,0.31371,0.12605,2.12859,2.33117,2.25462,0.000585714,0.000585714,0.000585714
